月份,今彩539開獎期數,今彩539銷售總額,今彩539銷售注數,今彩539單月最高總獎金,今彩539平均每期銷售額
2010-01,21,757299100,15145982,34906700,36061861.9047619
2010-02,20,830874950,16617499,39567500,41543747.5
2010-03,23,915776500,18315530,37259400,39816369.56521739
2010-04,22,805119150,16102383,36705450,36596325.0
2010-05,21,741823550,14836471,38279650,35324930.952380955
2010-06,22,730138950,14602779,33424500,33188134.09090909
2010-07,22,722002100,14440042,33419950,32818277.272727273
2010-08,22,745361700,14907234,34696800,33880077.27272727
2010-09,22,841950200,16839004,36144950,38270463.63636363
2010-10,21,826302450,16526049,36981850,39347735.71428572
2010-11,22,907069200,18141384,40995850,41230418.18181818
2010-12,23,954848000,19096960,37437400,41515130.43478261
2011-01,26,1007690900,20153818,39228800,38757342.307692304
2011-02,24,1083028050,21660561,39841050,45126168.75
2011-03,27,1082209150,21644183,39354750,40081820.37037037
2011-04,26,1004069300,20081386,37905550,38618050.0
2011-05,26,934790950,18695819,35436500,35953498.07692308
2011-06,26,926282100,18525642,36195100,35626234.615384616
2011-07,26,925879200,18517584,31551450,35610738.461538464
2011-08,27,1001740200,20034804,35465200,37101488.88888889
2011-09,26,1150811100,23016222,49390650,44261965.384615384
2011-10,26,1158671400,23173428,48246650,44564284.615384616
2011-11,26,1035673500,20713470,43777150,39833596.15384615
2011-12,27,1064609800,21292196,37394550,39429992.59259259
2012-01,26,1210006050,24200121,37942100,46538694.23076923
2012-02,25,1090177650,21803553,38772850,43607106.0
2012-03,27,1112620650,22252413,40929400,41208172.222222224
2012-04,25,945640650,18912813,36111550,37825626.0
2012-05,27,981234150,19624683,33702550,36342005.55555555
2012-06,26,987849550,19756991,41431100,37994213.461538464
2012-07,26,1067602700,21352054,43140300,41061642.307692304
2012-08,27,1004715500,20094310,34579150,37211685.18518519
2012-09,25,957641850,19152837,41196700,38305674.0
2012-10,27,1067064100,21341282,46173800,39520892.59259259
2012-11,26,967288400,19345768,36909300,37203400.0
2012-12,26,1033846600,20676932,38103900,39763330.76923077
2013-01,27,1086426750,21728535,36097000,40238027.777777776
2013-02,24,1114998300,22299966,40034400,46458262.5
2013-03,26,1049089650,20981793,40213000,40349601.92307692
2013-04,26,1017979500,20359590,36891500,39153057.692307696
2013-05,27,1027898500,20557970,47262800,38070314.81481481
2013-06,25,918542900,18370858,39836650,36741716.0
2013-07,27,1039735700,20794714,38215750,38508729.62962963
2013-08,27,940371850,18807437,35631800,34828587.03703704
2013-09,25,898455350,17969107,35436850,35938214.0
2013-10,27,985020400,19700408,34320950,36482237.03703704
2013-11,26,942545200,18850904,39247350,36251738.461538464
2013-12,26,987239600,19744792,36214100,37970753.84615385
2014-01,27,1130334950,22606699,39251950,41864257.40740741
2014-02,24,1036402150,20728043,40630347,43183422.916666664
2014-03,26,1008703950,20174079,37096900,38796305.76923077
2014-04,26,944627150,18892543,39286400,36331813.461538464
2014-05,27,924761250,18495225,37165600,34250416.666666664
2014-06,25,883064700,17661294,35604850,35322588.0
2014-07,27,941108450,18822169,33778200,34855868.518518515
2014-08,26,902071600,18041432,34480450,34695061.538461536
2014-09,26,1018426950,20368539,44897800,39170267.307692304
2014-10,27,998163250,19963265,36180100,36969009.25925926
2014-11,25,916966200,18339324,38913647,36678648.0
2014-12,27,996941550,19938831,37125200,36923761.11111111
2015-01,27,1063456550,21269131,35774300,39387279.62962963
2015-02,24,1013384950,20267699,39800250,42224372.916666664
2015-03,26,1022420350,20448407,37884850,39323859.615384616
2015-04,26,964424250,19288485,38258894,37093240.384615384
2015-05,26,857602400,17152048,36919950,32984707.692307692
2015-06,26,838819550,16776391,35912547,32262290.384615384
2015-07,27,846249700,16924994,36336400,31342581.48148148
2015-08,26,822461300,16449226,35012200,31633126.923076924
2015-09,26,878170350,17563407,40294050,33775782.692307696
2015-10,27,927342900,18546858,44273900,34346033.333333336
2015-11,25,824755150,16495103,34219450,32990206.0
2015-12,27,892542900,17850858,35853400,33057144.444444444
2016-01,26,879744250,17594885,33773650,33836317.307692304
2016-02,25,903772800,18075456,35724300,36150912.0
2016-03,27,901160500,18023210,35903350,33376314.814814813
2016-04,26,860102300,17202046,34243900,33080857.692307692
2016-05,26,840570250,16811405,35413800,32329625.0
2016-06,26,919019350,18380387,54586600,35346898.07692308
2016-07,26,807608100,16152162,34734300,31061850.0
2016-08,27,827040300,16540806,31840150,30631122.222222224
2016-09,26,767765100,15355302,34431400,29529426.923076924
2016-10,26,916707450,18334149,52595797,35257978.84615385
2016-11,26,856968950,17139379,37877450,32960344.230769232
2016-12,27,910160000,18203200,34565150,33709629.62962963
2017-01,26,959877400,19197548,38231750,36918361.538461536
2017-02,24,939337050,18786741,38337350,39139043.75
2017-03,27,973018800,19460376,36297000,36037733.333333336
2017-04,25,853042900,17060858,35937900,34121716.0
2017-05,27,904258700,18085174,37724400,33491062.962962963
2017-06,26,860640700,17212814,39336300,33101565.384615384
2017-07,26,818929300,16378586,24744500,31497280.769230768
2017-08,27,862743500,17254870,37565040,31953462.962962963
2017-09,26,861701150,17234023,32754950,33142351.923076924
2017-10,26,914727600,18294552,42396897,35181830.76923077
2017-11,26,860911000,17218220,35877050,33111961.53846154
2017-12,26,885480250,17709605,39552689,34056932.692307696
2018-01,27,946435800,18928716,38110450,35053177.777777776
2018-02,24,984015550,19680311,40728350,41000647.916666664
2018-03,27,981216450,19624329,34945550,36341350.0
2018-04,25,825822250,16516445,36899700,33032890.0
2018-05,27,800518350,16010367,38579100,29648827.777777776
2018-06,26,753931600,15078632,33342650,28997369.230769232
2018-07,26,752175200,15043504,37180450,28929815.384615384
2018-08,27,768427450,15368549,34573800,28460275.925925925
2018-09,25,720986650,14419733,36774400,28839466.0
2018-10,27,806146650,16122933,37330300,29857283.333333332
2018-11,26,786467250,15729345,43865694,30248740.384615384
2018-12,26,818033000,16360660,34081800,31462807.692307692
2019-01,27,898045600,17960912,36591200,33260948.14814815
2019-02,24,886727950,17734559,35658600,36946997.916666664
2019-03,26,839463550,16789271,33466200,32287059.615384616
2019-04,26,808516950,16170339,31788400,31096805.769230768
2019-05,27,820593850,16411877,33932550,30392364.814814813
2019-06,25,730227550,14604551,31642050,29209102.0
2019-07,27,793725900,15874518,25798200,29397255.555555556
2019-08,27,816443500,16328870,32025150,30238648.14814815
2019-09,25,737852250,14757045,24701050,29514090.0
2019-10,27,831449150,16628983,36479050,30794412.962962963
2019-11,26,820561550,16411231,31985600,31560059.615384616
2019-12,26,826229050,16524581,36229350,31778040.384615384
2020-01,27,983394900,19667898,43391750,36422033.333333336
2020-02,25,912036550,18240731,38108950,36481462.0
2020-03,26,911257900,18225158,38415000,35048380.76923077
2020-04,26,906954050,18139081,46138047,34882848.07692308
2020-05,26,901882750,18037655,35747450,34687798.07692308
2020-06,26,1006383100,20127662,51988300,38707042.307692304
2020-07,27,1013209200,20264184,43402150,37526266.666666664
2020-08,26,997531800,19950636,41894900,38366607.692307696
2020-09,26,946241450,18924829,36038100,36393901.92307692
2020-10,27,984521400,19690428,46343000,36463755.55555555
2020-11,25,906706950,18134139,35560100,36268278.0
2020-12,27,983592950,19671859,42226000,36429368.518518515
2021-01,26,965078900,19301578,35995300,37118419.23076923
2021-02,24,1059002550,21180051,44323650,44125106.25
2021-03,27,1086720600,21734412,44394700,40248911.11111111
2021-04,26,983664850,19673297,41443700,37833263.461538464
2021-05,26,855996950,17119939,35122300,32922959.615384616
2021-06,26,770903000,15418060,31419950,29650115.384615384
2021-07,27,877525900,17550518,31981500,32500959.259259257
2021-08,26,964917750,19298355,40627550,37112221.15384615
2021-09,26,921415000,18428300,34521800,35439038.461538464
2021-10,26,986711450,19734229,40201850,37950440.384615384
2021-11,26,909762200,18195244,35144550,34990853.84615385
2021-12,27,949121300,18982426,37585700,35152640.74074074
2022-01,26,982676300,19653526,35886600,37795242.307692304
2022-02,24,1015966950,20319339,41201750,42331956.25
2022-03,27,988495150,19769903,35241750,36610931.481481485
2022-04,26,921855800,18437116,35846050,35455992.307692304
2022-05,26,830303550,16606071,32946050,31934751.923076924
2022-06,26,833852900,16677058,35376800,32071265.384615384
2022-07,26,874403650,17488073,40814550,33630909.615384616
2022-08,27,917884750,18357695,41812250,33995731.481481485
2022-09,26,900389600,18007792,37233950,34630369.23076923
2022-10,26,884104300,17682086,37212950,34004011.538461536
2022-11,26,923706350,18474127,37950850,35527167.307692304
2022-12,27,977254450,19545089,38083550,36194609.25925926
2023-01,26,1107642650,22152853,44532700,42601640.384615384
2023-02,24,968596150,19371923,39427700,40358172.916666664
2023-03,27,1032220850,20644417,35781600,38230401.85185185
2023-04,25,904225150,18084503,35712000,36169006.0
2023-05,27,959145300,19182906,40798300,35523900.0
2023-06,26,890887200,17817744,32977700,34264892.307692304
2023-07,26,872942350,17458847,38800050,33574705.76923077
2023-08,27,920231150,18404623,38141100,34082635.18518519
2023-09,26,905178400,18103568,36799850,34814553.84615385
2023-10,26,922450700,18449014,37588300,35478873.07692308
2023-11,26,933340900,18666818,36317800,35897726.92307692
2023-12,26,930200900,18604018,36698650,35776957.692307696
2024-01,27,1027937400,20558748,36050250,38071755.55555555
2024-02,25,1047205350,20944107,35612450,41888214.0
2024-03,26,1031092400,20621848,38000350,39657400.0
2024-04,26,972441750,19448835,37906900,37401605.76923077
2024-05,27,1000023400,20000468,39984850,37037903.7037037
2024-06,25,891175200,17823504,37436500,35647008.0
2024-07,27,922378300,18447566,32909700,34162159.25925926
2024-08,27,961601350,19232027,38581550,35614864.81481481
2024-09,25,885105650,17702113,41822050,35404226.0
2024-10,27,930127750,18602555,35560500,34449175.925925925
2024-11,26,933993800,18679876,34188050,35922838.461538464
2024-12,26,964694550,19293891,38091850,37103636.538461536
2025-01,28,1112689500,22253790,38188950,39738910.71428572
2025-02,26,1085385100,21707702,38904000,41745580.76923077
2025-03,26,1026814950,20536299,42575550,39492882.692307696
2025-04,26,962166400,19243328,34558200,37006400.0
2025-05,27,964220350,19284407,43108500,35711864.81481481
2025-06,25,890545450,17810909,33887000,35621818.0
2025-07,27,926474650,18529493,40039600,34313875.925925925
2025-08,26,926756450,18535129,33873650,35644478.84615385
2025-09,26,932534450,18650689,44695097,35866709.615384616
2025-10,27,968278450,19365569,35061350,35862164.81481481
2025-11,25,935419600,18708392,38836400,37416784.0
2025-12,27,1053596100,21071922,40006650,39022077.777777776
